Data	White	Black	Score
1	14	13	0.5
1	12	1	0
1	4	7	0.5
1	8	5	0
1	10	9	0.5
1	3	2	0.5
1	11	6	0.5
2	13	6	0.5
2	2	11	0.5
2	9	3	0
2	5	10	0.5
2	7	8	1
2	1	4	0.5
2	14	12	0.5
3	12	13	0.5
3	4	14	1
3	8	1	0.5
3	10	7	0.5
3	3	5	0.5
3	11	9	0.5
3	6	2	0.5
4	13	2	0.5
4	9	6	0.5
4	5	11	0
4	7	3	1
4	1	10	1
4	14	8	0.5
4	12	4	0.5
5	4	13	0.5
5	8	12	0.5
5	10	14	1
5	3	1	0
5	11	7	0.5
5	6	5	0.5
5	2	9	1
6	13	9	1
6	5	2	0.5
6	7	6	0.5
6	1	11	0.5
6	14	3	0.5
6	12	10	0.5
6	4	8	1
7	8	13	0
7	10	4	0.5
7	3	12	1
7	11	14	1
7	6	1	0
7	2	7	0.5
7	9	5	0.5
8	13	5	0.5
8	7	9	0.5
8	1	2	0.5
8	14	6	1
8	12	11	1
8	4	3	0
8	8	10	1
9	10	13	0.5
9	3	8	0.5
9	11	4	0.5
9	6	12	0
9	2	14	0.5
9	9	1	0.5
9	5	7	0
10	13	7	0.5
10	1	5	0.5
10	14	9	0.5
10	12	2	0.5
10	4	6	0.5
10	8	11	1
10	10	3	0
11	3	13	0.5
11	11	10	0
11	6	8	0.5
11	2	4	0.5
11	9	12	0.5
11	5	14	0.5
11	7	1	0.5
12	13	1	0.5
12	14	7	0.5
12	12	5	1
12	4	9	0.5
12	8	2	0.5
12	10	6	1
12	3	11	0.5
13	11	13	0.5
13	6	3	0
13	2	10	0
13	9	8	0.5
13	5	4	0.5
13	7	12	1
13	1	14	0
